"Title","Media URL","Pinterest board","Thumbnail","Description","Link","Publish date","Keywords"
"RITUALISTIC Dome Crystal Chakra Tree","https://m.media-amazon.com/images/I/81rWvCAhkbL._SL1500_.jpg","Gifts for Girlfriends","","This decor item is suitable for home and office spaces. It can be placed on tables or shelves to improve the look of the room. A simple gift option for birthdays and special occasions. Suitable for daily decoration and long term display. It is simple to use and suitable for regular use.","https://onlypresents.store/product/b7m9q3","","for her, for him, gift set, home decor, premium"
"THE LOONY BOX Sunflower Gift Hamper","https://m.media-amazon.com/images/I/51L+MCr-xDL.jpg","Gifts for Girlfriends","","This coffee mug is suitable for daily use at home or office. It can be used for tea, coffee or milk. The design is simple and useful. A good gift option for birthdays and special days. It fits well on work desks and kitchen shelves and is easy to clean and use every day.","https://onlypresents.store/product/iswa85","","couple, for her, gift set, home decor, mug, premium, romantic"
"3D Animal Cup Coffee Mug","https://m.media-amazon.com/images/I/41bp6Bh4+oL._SL1100_.jpg","Gifts for Girlfriends","","This coffee mug is suitable for daily use at home or office. It can be used for tea, coffee or milk. The design is simple and useful. A good gift option for birthdays and special days. It fits well on work desks and kitchen shelves and is easy to clean and use every day.","https://onlypresents.store/product/wz0fl6","","for her, for him, mug, under 500"
"Desidiya® Pear Rechargeable Silicone Night Lamp","https://m.media-amazon.com/images/I/61a-xuz96XL._SL1500_.jpg","Gifts for Girlfriends","","This night lamp gives a soft light for bedrooms and desks. It helps create a calm space at night. Suitable for home decor and gifting on birthdays, festivals and special occasions. A simple decorative item for daily use that can be placed beside beds or tables.","https://onlypresents.store/product/0zoz4d","","cute, for her, for him, gift set, home decor, soft toy, under 500"
"One94Store Cute Rabbit Silicone Night Lamp","https://m.media-amazon.com/images/I/51xeXibi8hL.jpg","Gifts for Girlfriends","","This night lamp gives a soft light for bedrooms and desks. It helps create a calm space at night. Suitable for home decor and gifting on birthdays, festivals and special occasions. A simple decorative item for daily use that can be placed beside beds or tables.","https://onlypresents.store/product/77cfi0","","couple, for her, gift set, home decor, romantic, under 500"
"SAUDEEP INDIA Valentine Day Gift for Women Girls","https://m.media-amazon.com/images/I/61Y8veIK4dL._SL1280_.jpg","Gifts for Girlfriends","","This decor item is suitable for home and office spaces. It can be placed on tables or shelves to improve the look of the room. A simple gift option for birthdays and special occasions. Suitable for daily decoration and long term display. It is simple to use and suitable for regular use.","https://onlypresents.store/product/f7oy5o","","couple, for her, for him, gift set, home decor, romantic, under 500"
"Yadava Birthday Combo for Girlfriend","https://m.media-amazon.com/images/I/61lQukgAEiL._SL1500_.jpg","Gifts for Girlfriends","","This jewellery item is suitable for daily wear and special occasions. It matches well with casual and festive outfits. A simple gift option for birthdays, anniversaries and celebrations. It can be worn regularly and stored easily when not in use. It is simple to use and suitable for regular use.","https://onlypresents.store/product/0ombza","","couple, for her, gift set, jewelry, romantic"
"SIMMI Classic Satin Silk Scrunchies For Women And","https://m.media-amazon.com/images/I/71yN8KZIMxL._SL1024_.jpg","Gifts for Girlfriends","","This product is suitable for daily use and gifting on special occasions. It can be used at home or office and makes a practical gift option for friends and family. Suitable for birthdays, celebrations and regular use throughout the year. It is simple to use and suitable for regular use.","https://onlypresents.store/product/io3iu9","","accessories, for her, for him, gift set, under 500"
"VRB Dec Miniature Penguin Decor Items Set","https://m.media-amazon.com/images/I/61RtZLhZPpL._SL1080_.jpg","Gifts for Girlfriends","","This decor item is suitable for home and office spaces. It can be placed on tables or shelves to improve the look of the room. A simple gift option for birthdays and special occasions. Suitable for daily decoration and long term display. It is simple to use and suitable for regular use.","https://onlypresents.store/product/1y0zt3","","couple, for her, for him, gift set, home decor, romantic, under 500"
"Luxury Celestial Bracelet Gift Set Combo for Women","https://m.media-amazon.com/images/I/71Qy3jSWJNL._SL1500_.jpg","Gifts for Girlfriends","","This night lamp gives a soft light for bedrooms and desks. It helps create a calm space at night. Suitable for home decor and gifting on birthdays, festivals and special occasions. A simple decorative item for daily use that can be placed beside beds or tables.","https://onlypresents.store/product/dqdmn8","","couple, for her, for him, gift set, home decor, jewelry, perfume, romantic"
